"취업일자","연령","장애유형","중증여부","근무지역","취업직종대분류","연령대","장애유형_중증여부","월","근무지역분류"
"2020-01-01",65,"시각장애","중증","경북 경산시","경영·행정·사무직",6,"시각장애-중증","01","경북"
"2020-01-01",61,"시각장애","중증","경북 고령군","경영·행정·사무직",6,"시각장애-중증","01","경북"
"2020-01-01",53,"시각장애","경증","경북 의성군","경영·행정·사무직",5,"시각장애-경증","01","경북"
"2020-01-01",64,"시각장애","중증","경북 성주군","경영·행정·사무직",6,"시각장애-중증","01","경북"
"2020-01-01",53,"시각장애","경증","경북 군위군","경영·행정·사무직",5,"시각장애-경증","01","경북"
"2020-01-01",60,"시각장애","중증","경북 영천시","경영·행정·사무직",6,"시각장애-중증","01","경북"
"2020-02-01",63,"시각장애","중증","경북 영덕군","경영·행정·사무직",6,"시각장애-중증","02","경북"
"2020-03-02",40,"시각장애","중증","경북 포항시","보건·의료직",4,"시각장애-중증","03","경북"
"2020-07-01",56,"지체장애","중증","강원 횡성군","보건·의료직",5,"지체장애-중증","07","강원"
"2020-01-01",62,"시각장애","중증","강원 화천군","보건·의료직",6,"시각장애-중증","01","강원"
"2020-01-01",40,"지체장애","경증","강원 태백시","보건·의료직",4,"지체장애-경증","01","강원"
"2020-01-01",76,"시각장애","중증","강원 춘천시","전기·전자 설치·정비·생산직",7,"시각장애-중증","01","강원"
"2020-01-01",69,"시각장애","중증","강원 횡성군","보건·의료직",6,"시각장애-중증","01","강원"
"2020-01-01",66,"시각장애","중증","강원 횡성군","보건·의료직",6,"시각장애-중증","01","강원"
"2020-01-01",20,"시각장애","중증","강원 화천군","보건·의료직",2,"시각장애-중증","01","강원"
"2020-01-13",30,"지적장애","경증","강원 평창군","사회복지·종교직",3,"지적장애-경증","01","강원"
"2020-03-23",49,"지체장애","중증","강원 홍천군","사회복지·종교직",4,"지체장애-중증","03","강원"
"2020-01-01",40,"시각장애","중증","강원 횡성군","보건·의료직",4,"시각장애-중증","01","강원"
"2020-01-01",65,"시각장애","중증","강원 춘천시","보건·의료직",6,"시각장애-중증","01","강원"
"2020-01-01",68,"시각장애","중증","전남 목포시","보건·의료직",6,"시각장애-중증","01","전남"
"2020-06-01",57,"지체장애","경증","전남 목포시","청소 및 기타 개인서비스직",5,"지체장애-경증","06","전남"
"2020-01-01",59,"지체장애","경증","충북 영동군","경영·행정·사무직",5,"지체장애-경증","01","충북"
"2020-01-01",42,"지체장애","경증","충북 영동군","경영·행정·사무직",4,"지체장애-경증","01","충북"
"2020-01-01",37,"청각장애","경증","충북 영동군","경영·행정·사무직",3,"청각장애-경증","01","충북"
"2020-01-01",75,"지체장애","경증","충북 영동군","경영·행정·사무직",7,"지체장애-경증","01","충북"
"2020-01-01",40,"지적장애","중증","충북 영동군","경영·행정·사무직",4,"지적장애-중증","01","충북"
"2020-01-01",22,"지적장애","중증","충북 영동군","경영·행정·사무직",2,"지적장애-중증","01","충북"
"2020-01-01",51,"지체장애","중증","충북 영동군","경영·행정·사무직",5,"지체장애-중증","01","충북"
"2020-01-01",40,"지적장애","중증","충북 영동군","경영·행정·사무직",4,"지적장애-중증","01","충북"
"2020-01-01",23,"지적장애","중증","충북 영동군","경영·행정·사무직",2,"지적장애-중증","01","충북"
"2020-01-01",32,"지적장애","중증","충북 영동군","경영·행정·사무직",3,"지적장애-중증","01","충북"
"2020-01-01",26,"지적장애","중증","충북 영동군","경영·행정·사무직",2,"지적장애-중증","01","충북"
"2020-01-01",62,"지체장애","경증","충북 영동군","경영·행정·사무직",6,"지체장애-경증","01","충북"
"2020-01-01",50,"지체장애","중증","충북 영동군","경영·행정·사무직",5,"지체장애-중증","01","충북"
"2020-01-01",62,"지체장애","경증","충북 영동군","경영·행정·사무직",6,"지체장애-경증","01","충북"
"2020-04-01",39,"지적장애","중증","충북 영동군","경영·행정·사무직",3,"지적장애-중증","04","충북"
"2020-01-01",32,"지적장애","중증","충북 영동군","경영·행정·사무직",3,"지적장애-중증","01","충북"
"2020-01-01",45,"지체장애","중증","충북 영동군","경영·행정·사무직",4,"지체장애-중증","01","충북"
"2020-01-01",35,"지체장애","경증","충북 영동군","경영·행정·사무직",3,"지체장애-경증","01","충북"
"2020-01-01",36,"지체장애","중증","충북 영동군","경영·행정·사무직",3,"지체장애-중증","01","충북"
"2020-01-01",59,"지체장애","경증","충북 영동군","경영·행정·사무직",5,"지체장애-경증","01","충북"
"2020-01-01",48,"지적장애","중증","충북 영동군","경영·행정·사무직",4,"지적장애-중증","01","충북"
"2020-01-01",23,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",34,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",24,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",65,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",6,"지체장애-중증","01","충북"
"2020-01-01",29,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",60,"지체장애","경증","충북 충주시","돌봄 서비스직(간병·육아)",6,"지체장애-경증","01","충북"
"2020-01-01",70,"시각장애","중증","충북 충주시","청소 및 기타 개인서비스직",7,"시각장애-중증","01","충북"
"2020-01-01",40,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",47,"정신장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"정신장애-중증","01","충북"
"2020-01-01",33,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",20,"청각장애","중증","충북 충주시","돌봄 서비스직(간병·육아)",2,"청각장애-중증","01","충북"
"2020-01-01",24,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지체장애-중증","01","충북"
"2020-01-01",31,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",54,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"지적장애-중증","01","충북"
"2020-01-01",48,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",29,"지적장애","중증","충북 충주시","돌봄 서비스직(간병·육아)",2,"지적장애-중증","01","충북"
"2020-01-01",29,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",53,"정신장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"정신장애-중증","01","충북"
"2020-01-01",20,"청각장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"청각장애-중증","01","충북"
"2020-01-01",43,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",26,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",38,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",22,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",27,"시각장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"시각장애-중증","01","충북"
"2020-01-01",22,"지적장애","중증","충북 충주시","음식 서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",22,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",46,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",21,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",32,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",32,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",46,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",23,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",72,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",7,"지체장애-중증","01","충북"
"2020-01-01",28,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",26,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",55,"정신장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"정신장애-중증","01","충북"
"2020-01-01",24,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-01-01",42,"청각장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"청각장애-중증","01","충북"
"2020-01-01",25,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","01","충북"
"2020-06-01",32,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","06","충북"
"2020-05-01",25,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","05","충북"
"2020-02-17",22,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","02","충북"
"2020-03-01",56,"시각장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"시각장애-중증","03","충북"
"2020-03-01",20,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",2,"지적장애-중증","03","충북"
"2020-03-01",22,"시각장애","경증","충북 충주시","청소 및 기타 개인서비스직",2,"시각장애-경증","03","충북"
